subject_id,chapter_id,unit_id,subtopic_id,difficulty,question_type,question_text,option_a,option_b,option_c,option_d,answer,explanation,more_explanation,correct_option,difficulty_score,answer_type,concept_tested,question_archetype,exam_level,source_type,tags,estimated_time_sec,marks,negative_marks,bloom_level,chapter_weightage,exam_relevance,pyq_inspired,pyq_exam,pyq_year,pyq_topic,status,version,is_verified,reviewed_by,review_date,image_required,has_diagram,latex_required,language,question_image_url,solution_image_url,question_code,subject_name,unit_name,chapter_name,subtopic_name,set_no
PHY,CH1,P1,ST4,Foundation,MCQ,"A person walks 3 m due east, then 4 m due west. What is the person's displacement from the starting point?",1 m west,1 m east,7 m west,7 m east,"Net displacement = 3 m east − 4 m east = −1 m, i.e. 1 m west.","Displacement is a vector quantity defined by the change in position and depends on direction. Taking east as positive, the first displacement is +3 m and the second is −4 m. The net displacement is +3 + (−4) = −1 m, which means 1 m toward the west. Note this is different from the distance traveled (a scalar), which is 3 m + 4 m = 7 m.","Using a number-line view: start at 0, move to +3, then back to −1. The sign indicates direction; a negative result corresponds to west in our sign convention. This problem tests understanding of vector addition for one-dimensional motion.",A,1,Single Correct,Displacement versus distance; vector addition in one dimension,Single concept application,JEE Main + Advanced,AI Generated,"displacement,distance,vectors,kinematics,one-dimensional motion,foundation",45,4,-1,Understanding,Low,Foundation-level kinematics concept,False,,,,Draft,1.0,False,,,False,False,False,English,,,P1_CH1_ST4_S1_Q701,Physics,P1,CH1,ST4,S1
PHY,CH1,P1,ST4,Foundation,MCQ,"A ball is thrown vertically upward from ground with an initial speed of 20 m/s. Taking g = 10 m/s^2, what is the maximum height reached by the ball?",10 m,20 m,40 m,2 m,"Use h = v^2/(2g): h = 20^2/(2×10) = 400/20 = 20 m, so option B.","For vertical motion under constant gravitational acceleration, the maximum height h reached when the velocity becomes zero is given by h = v0^2/(2g). Substituting v0 = 20 m/s and g = 10 m/s^2 gives h = (20)^2/(2×10) = 400/20 = 20 m. Therefore the correct answer is 20 m. Distractors: 10 m (option A) could result from halving the correct result due to an arithmetic mistake; 40 m (option C) corresponds to using v^2/g instead of v^2/(2g); 2 m (option D) is a decimal-place or unit error.",Key concept: convert kinetic energy per unit mass into potential energy per unit mass: (1/2)v0^2 = g h → h = v0^2/(2g). This is a single-step application suitable for foundation-level practice.,B,1,Single Correct,Kinematics — vertical motion under constant acceleration (maximum height),Direct formula application,JEE Main + Advanced,AI Generated,"kinematics,vertical motion,gravity,maximum height,formula application",45,4,-1,Understanding,Low,High,False,,,,Draft,1.0,False,,,False,False,False,English,,,P1_CH1_ST4_S1_Q702,Physics,P1,CH1,ST4,S1
PHY,CH1,P1,ST4,Foundation,MCQ,Which of the following physical quantities is a scalar?,Velocity,Displacement,Speed,Acceleration,"Speed. Speed has magnitude only and no direction; velocity, displacement and acceleration are vector quantities (they have both magnitude and direction).","A scalar quantity is described completely by its magnitude (a single number and unit) and has no direction. A vector quantity requires both magnitude and direction. Speed is defined as the rate of change of distance and is specified only by its magnitude (e.g. 20 m/s). Velocity is the rate of change of displacement and includes direction (e.g. 20 m/s east) so it is a vector. Displacement describes change in position with direction (vector). Acceleration is the rate of change of velocity and therefore has direction (vector). Common student errors: confusing speed with velocity (omitting direction) or confusing distance with displacement. Since only speed lacks direction, option C is correct.",In formulas: speed = distance/time (scalar); velocity = displacement/time (vector). Units are same (m/s) but the presence or absence of direction determines scalar vs vector.,C,1,Single Correct,Scalars and vectors (basic definitions and identification),Concept Identification,JEE Main + Advanced,AI Generated,"scalars,vectors,kinematics,basic_concepts",30,4,-1,Remembering,Low,High,False,,,,Draft,1.0,False,,,False,False,False,English,,,P1_CH1_ST4_S1_Q703,Physics,P1,CH1,ST4,S1
PHY,CH1,P1,ST4,Foundation,MCQ,A 2 kg block rests on a horizontal frictionless surface. A constant horizontal force of 10 N is applied to the block. What is the magnitude of the block's acceleration?,5 m/s^2,0.2 m/s^2,10 m/s^2,2 m/s^2,"Use Newton's second law: a = F/m = 10 N ÷ 2 kg = 5 m/s^2, so option A is correct.","Newton's second law states that the net force on an object equals mass times acceleration (F = ma). On a frictionless horizontal surface the applied horizontal force is the net force. Therefore a = F/m = 10 N / 2 kg = 5 m/s^2. Incorrect options: B (0.2 m/s^2) arises from confusing m/F with F/m (reciprocal error: 2/10 = 0.2); C (10 m/s^2) reflects ignoring the mass (treating numerical value of force as acceleration, unit confusion); D (2 m/s^2) is a simple arithmetic mistake (e.g., dividing by 5 instead of 2).","Always keep units in mind: N = kg·m/s^2, so a = (N)/(kg) yields m/s^2. Frictionless surface means no opposing horizontal force, so the entire 10 N produces the acceleration calculated.",A,1,Single Correct,"Newton's second law (relation between net force, mass and acceleration)",Direct application of F = ma,JEE Main + Advanced,AI Generated,"forces,newton's laws,dynamics,acceleration,mechanics",30,4,-1,Apply,Low,High,False,,,,Draft,1.0,False,,,False,False,False,English,,,P1_CH1_ST4_S1_Q704,Physics,P1,CH1,ST4,S1
PHY,CH1,P1,ST4,Foundation,MCQ,A car travels 60 km east in 1 hour and then 40 km west in 2 hours. What is the average velocity of the car for the entire trip?,6.67 km/h east,33.3 km/h east,20 km/h east,6.67 km/h west,Average velocity = total displacement / total time = (60 − 40) km / 3 h = 20/3 ≈ 6.67 km/h east.,Average velocity is defined as total displacement divided by total time. Displacement = +60 km (east) + (−40 km) (west) = +20 km (east). Total time = 1 h + 2 h = 3 h. Thus average velocity = 20 km / 3 h = 20/3 km/h ≈ 6.67 km/h toward the east. Option B (33.3 km/h east) is the average speed (total distance 100 km / 3 h) incorrectly given a direction. Option C (20 km/h east) is incorrect because it uses displacement 20 km divided by only 1 hour (wrong time). Option D (6.67 km/h west) has the correct magnitude but the wrong direction (sign error).,"Remember: average speed = total distance / total time (scalar, no direction); average velocity = total displacement / total time (vector, includes direction). Here total distance = 60 + 40 = 100 km, giving average speed 100/3 ≈ 33.3 km/h, but displacement is 20 km east, giving average velocity 20/3 ≈ 6.67 km/h east.",A,1,Single Correct,Average velocity; displacement versus distance,Single-step kinematics,JEE Main + Advanced,AI Generated,"kinematics,average velocity,displacement,average speed,vector vs scalar",60,4,-1,Understand,Low,High,False,,,,Draft,1.0,False,,,False,False,False,English,,,P1_CH1_ST4_S1_Q705,Physics,P1,CH1,ST4,S1
PHY,CH1,P1,ST4,Foundation,MCQ,A car travels 60 km east and then 40 km west along a straight road. What is the magnitude and direction of the car's net displacement?,100 km east,20 km east,20 km west,60 km east,Net displacement = 60 km (east) − 40 km (west) = 20 km east.,"Displacement is a vector quantity that depends on the change in position, not the total path length. Along one straight line, take east as positive. The net displacement = (+60 km) + (−40 km) = +20 km, i.e. 20 km east. Option A (100 km east) is the total distance travelled (60 + 40) but not the displacement. Option C (20 km west) has the wrong direction sign. Option D (60 km east) ignores the second leg of the journey.","Treat segments algebraically with signs for direction: east positive, west negative. Displacement gives both magnitude and direction; distance is always positive and equals 100 km here but does not indicate direction.",B,1,Single Correct,Displacement versus distance; vector addition in one dimension,Single-concept numerical reasoning,JEE Main + Advanced,AI Generated,"displacement,distance,one-dimensional motion,vectors",45,4,-1,Understanding,High,High,False,,,,Draft,1.0,False,,,False,False,False,English,,,P1_CH1_ST4_S1_Q706,Physics,P1,CH1,ST4,S1
PHY,CH1,P1,ST4,Foundation,MCQ,A 2 kg block slides on a frictionless horizontal surface with constant velocity 5 m/s. What is the net force acting on the block?,0 N,10 N,2 N,Cannot be determined from the given information,"Since the block moves with constant velocity, its acceleration is zero; by Newton's second law net force = m·a = 2·0 = 0 N.","Newton's first and second laws state that if an object's velocity is constant, its acceleration is zero. Newton's second law gives net force F_net = m·a. Here a = 0 (constant velocity), so F_net = 2 kg × 0 = 0 N. Option B (10 N) could arise from incorrectly using F = m·v; option C (2 N) could arise from confusing mass with force; option D is incorrect because the provided information (mass, constant velocity, frictionless surface) is sufficient to determine the net force.","Individual forces (if any) may be present but must sum to zero for constant velocity. On a frictionless surface no unbalanced horizontal force acts, so the net horizontal force is zero.",A,1,Single Correct,"Newton's laws — relation between constant velocity, acceleration and net force",Direct application of Newton's laws,JEE Main + Advanced,AI Generated,"Newton's laws,force,constant velocity,mechanics,foundation",45,4,-1,Understanding,High,High,False,,,,Draft,1.0,False,,,False,False,False,English,,,P1_CH1_ST4_S1_Q707,Physics,P1,CH1,ST4,S1
PHY,CH1,P1,ST4,Foundation,MCQ,A car moves with constant speed v around a circular track of radius r. Which one of the following correctly describes the car's acceleration?,Magnitude v^2/r directed towards the centre of the circle.,Magnitude v/r directed tangentially along the direction of motion.,"Zero, because the speed of the car is constant.",Magnitude v^2/r directed away from the centre of the circle.,"In uniform circular motion the velocity direction changes continuously, producing a centripetal acceleration of magnitude v^2/r directed towards the centre.","Acceleration is the rate of change of the velocity vector. In uniform circular motion the speed (magnitude of velocity) is constant but the direction of velocity continuously changes. This change in direction requires an inward (centripetal) acceleration that points towards the centre of the circle. Its magnitude can be shown from geometry of velocity vectors or from a = v^2/r. Therefore the correct description is a centripetal acceleration of magnitude v^2/r directed towards the centre. Option B is incorrect because v/r has wrong magnitude and the tangential direction is associated with changing speed (tangential acceleration), not with constant-speed circular motion. Option C is incorrect because constant speed does not imply zero acceleration when direction changes. Option D is incorrect because the direction is towards the centre, not away from it.","For a small deflection Δθ in direction, the change in velocity Δv ≈ v·Δθ directed inward; dividing by time Δt gives a ≈ v(Δθ/Δt). With angular speed ω = Δθ/Δt and v = ωr, this yields a = v·ω = v·(v/r) = v^2/r toward the centre.",A,1,Single Correct,Uniform circular motion — centripetal acceleration (magnitude and direction),Direct concept application,JEE Main + Advanced,AI Generated,"kinematics,circular motion,centripetal acceleration,vectors",45,4,-1,Understand,Low,High,False,,,,Draft,1.0,False,,,False,False,False,English,,,P1_CH1_ST4_S1_Q708,Physics,P1,CH1,ST4,S1
PHY,CH1,P1,ST4,Foundation,MCQ,Which of the following physical quantities is a scalar quantity?,Velocity,Acceleration,Speed,Displacement,"Speed — it has magnitude only and no direction, hence it is a scalar.","A scalar quantity is fully described by magnitude alone, while a vector requires both magnitude and direction. Speed gives only how fast an object is moving (a positive number) without specifying direction, so it is a scalar. Velocity and displacement specify direction as well as magnitude, and acceleration indicates change of velocity (which also has direction); all three are vectors.","Example: If a car moves at 60 km/h east, '60 km/h' is the speed (scalar) and '60 km/h east' is the velocity (vector). Speed cannot be negative, whereas components of vectors can be positive or negative depending on chosen directions.",C,1,Single Correct,Distinguishing between scalar and vector quantities,Definition,JEE Main + Advanced,AI Generated,"scalars,vectors,kinematics,basics",45,4,-1,Remember,5%,High,False,,,,Draft,1.0,False,,,False,False,False,English,,,P1_CH1_ST4_S1_Q709,Physics,P1,CH1,ST4,S1
PHY,CH1,P1,ST4,Foundation,MCQ,Which of the following physical quantities is a scalar?,Displacement,Velocity,Acceleration,Energy,Energy is a scalar quantity; it has magnitude only and no direction.,"A scalar quantity is described completely by its magnitude (and appropriate units) only, whereas a vector quantity requires both magnitude and direction. Displacement, velocity and acceleration are vector quantities because they have directions associated with them (for example, displacement from one point to another, velocity in a specific direction, acceleration along a direction). Energy (kinetic, potential, thermal, etc.) is described only by its magnitude (for example, 50 J) and has no direction; therefore it is a scalar.","Common examples of scalars: mass, temperature, energy, speed. Common examples of vectors: displacement, velocity, acceleration, force. When adding scalars, ordinary arithmetic is used. When adding vectors, vector addition (considering direction) is required. Recognizing whether a quantity needs direction is the key test for scalar vs vector.",D,1,Single Correct,Scalars and vectors (basic classification),Definition-based concept check,JEE Main + Advanced,AI Generated,"scalars,vectors,kinematics,fundamentals",60,4,-1,Remembering,Low,Foundational concept for kinematics and mechanics,False,,,,Draft,1.0,False,,,False,False,False,English,,,P1_CH1_ST4_S1_Q710,Physics,P1,CH1,ST4,S1
